promise_id,politician_id,description,announcement_date,status,campaign_id
PROM008,89012345,จะปรับปรุงระบบไฟฟ้าให้ทันสมัย,2024-03-05,ยังไม่เริ่ม,CAMP005
PROM007,78901234,จะสร้างศูนย์กีฬาชุมชน,2024-03-01,ยังไม่เริ่ม,CAMP003
PROM006,67890123,จะจัดตั้งกองทุนช่วยเหลือผู้สูงอายุ,2024-02-20,ยังไม่เริ่ม,CAMP002
PROM005,56789012,จะสร้างโรงเรียนใหม่ 2 แห่ง,2024-02-15,ยังไม่เริ่ม,CAMP004
PROM004,45678901,จะปรับปรุงระบบน้ำประปาให้ครอบคลุมทุกครัวเรือน,2024-02-10,ยังไม่เริ่ม,CAMP001
PROM019,12345678,จะสร้างศูนย์วัฒนธรรมชุมชน,2024-02-05,กำลังดำเนินการ,CAMP001
PROM003,34567890,จะสร้างสวนสาธารณะขนาดใหญ่ 3 แห่ง,2024-02-01,ยังไม่เริ่ม,CAMP003
PROM018,10234567,จะจัดตั้งกองทุนช่วยเหลือผู้พิการ,2024-02-01,กำลังดำเนินการ,CAMP004
PROM017,90123456,จะสร้างศูนย์ดูแลเด็กเล็ก,2024-01-25,กำลังดำเนินการ,CAMP001
PROM002,23456789,จะจัดตั้งศูนย์สุขภาพชุมชน 5 แห่ง,2024-01-20,ยังไม่เริ่ม,CAMP002
PROM016,89012345,จะปรับปรุงระบบอินเทอร์เน็ตให้ครอบคลุม,2024-01-20,กำลังดำเนินการ,CAMP005
PROM001,12345678,จะสร้างถนนใหม่ในเขตเลือกตั้ง 10 กิโลเมตร,2024-01-15,กำลังดำเนินการ,CAMP001
PROM015,78901234,จะสร้างโรงพยาบาลชุมชน,2024-01-15,กำลังดำเนินการ,CAMP003
PROM014,67890123,จะจัดตั้งกองทุนช่วยเหลือเกษตรกร,2024-01-10,กำลังดำเนินการ,CAMP002
PROM013,56789012,จะสร้างศูนย์ฝึกอาชีพ,2024-01-05,กำลังดำเนินการ,CAMP004
PROM012,45678901,จะปรับปรุงระบบขนส่งสาธารณะ,2023-12-20,กำลังดำเนินการ,CAMP001
PROM011,34567890,จะสร้างห้องสมุดประชาชน 3 แห่ง,2023-12-15,กำลังดำเนินการ,CAMP003
PROM010,23456789,จะจัดตั้งตลาดนัดชุมชนทุกวันอาทิตย์,2023-12-10,กำลังดำเนินการ,CAMP002
PROM026,89012345,จะสร้างศูนย์ฝึกอบรมเทคโนโลยี,2023-12-05,เงียบหาย,CAMP005
PROM009,12345678,จะสร้างสะพานข้ามแม่น้ำ 2 แห่ง,2023-12-01,กำลังดำเนินการ,CAMP001
PROM025,78901234,จะสร้างศูนย์บำบัดน้ำเสีย,2023-12-01,เงียบหาย,CAMP003
PROM024,67890123,จะสร้างศูนย์ประชุมและแสดงสินค้า,2023-11-25,เงียบหาย,CAMP002
PROM023,56789012,จะสร้างท่าเรือสำหรับการท่องเที่ยว,2023-11-20,เงียบหาย,CAMP004
PROM022,45678901,จะสร้างศูนย์วิจัยและพัฒนา,2023-11-15,เงียบหาย,CAMP001
PROM021,34567890,จะสร้างโรงงานแปรรูปผลผลิตทางการเกษตร,2023-11-10,เงียบหาย,CAMP003
PROM020,23456789,จะสร้างสนามบินเล็กในจังหวัด,2023-11-01,เงียบหาย,CAMP002
